Espanol,English,,,,,,,,,,,,
de,from,,,,,,,,,,,,
la,the,,,,,,,,,,,,
que,that,,,,,,,,,,,,
el,the,,,,,,,,,,,,
en,in,,,,,,,,,,,,
y,Y,,,,,,,,,,,,
a,to,,,,,,,,,,,,
los,the,,,,,,,,,,,,
se,I know,,,,,,,,,,,,
del,of,,,,,,,,,,,,
las,the,,,,,,,,,,,,
un,a,,,,,,,,,,,,
por,for,,,,,,,,,,,,
con,with,,,,,,,,,,,,
no,no,,,,,,,,,,,,
una,a,,,,,,,,,,,,
su,his,,,,,,,,,,,,
para,for,,,,,,,,,,,,
es,is,,,,,,,,,,,,
al,to the,,,,,,,,,,,,
lo,it,,,,,,,,,,,,
como,What,,,,,,,,,,,,
más,plus,,,,,,,,,,,,
o,or,,,,,,,,,,,,
pero,but,,,,,,,,,,,,
sus,their,,,,,,,,,,,,
le,you,,,,,,,,,,,,
ha,he has,,,,,,,,,,,,
me,I,,,,,,,,,,,,
si,Yes,,,,,,,,,,,,
sin,without,,,,,,,,,,,,
sobre,about,,,,,,,,,,,,
este,this,,,,,,,,,,,,
ya,already,,,,,,,,,,,,
entre,Come in,,,,,,,,,,,,
cuando,when,,,,,,,,,,,,
todo,everything,,,,,,,,,,,,
esta,is,,,,,,,,,,,,
ser,to be,,,,,,,,,,,,
son,are,,,,,,,,,,,,
dos,two,,,,,,,,,,,,
también,too,,,,,,,,,,,,
fue,it was,,,,,,,,,,,,
había,there was,,,,,,,,,,,,
era,it was,,,,,,,,,,,,
muy,very,,,,,,,,,,,,
años,years,,,,,,,,,,,,
hasta,until,,,,,,,,,,,,
desde,from,,,,,,,,,,,,
está,this,,,,,,,,,,,,
mi,me,,,,,,,,,,,,
porque,because,,,,,,,,,,,,
qué,what,,,,,,,,,,,,
sólo,alone,,,,,,,,,,,,
han,they have,,,,,,,,,,,,
yo,me,,,,,,,,,,,,
hay,there are,,,,,,,,,,,,
vez,time,,,,,,,,,,,,
puede,may,,,,,,,,,,,,
todos,everybody,,,,,,,,,,,,
así,So,,,,,,,,,,,,
nos,us,,,,,,,,,,,,
ni,neither,,,,,,,,,,,,
parte,part,,,,,,,,,,,,
tiene,has,,,,,,,,,,,,
él,he,,,,,,,,,,,,
uno,one,,,,,,,,,,,,
donde,where,,,,,,,,,,,,
bien,good,,,,,,,,,,,,
tiempo,weather,,,,,,,,,,,,
mismo,same,,,,,,,,,,,,
ese,that,,,,,,,,,,,,
ahora,now,,,,,,,,,,,,
cada,each,,,,,,,,,,,,
e,and,,,,,,,,,,,,
vida,life,,,,,,,,,,,,
otro,other,,,,,,,,,,,,
después,after,,,,,,,,,,,,
te,tea,,,,,,,,,,,,
otros,others,,,,,,,,,,,,
aunque,even if,,,,,,,,,,,,
esa,that,,,,,,,,,,,,
eso,that,,,,,,,,,,,,
hace,does,,,,,,,,,,,,
otra,other,,,,,,,,,,,,
gobierno,government,,,,,,,,,,,,
tan,so,,,,,,,,,,,,
durante,during,,,,,,,,,,,,
siempre,forever,,,,,,,,,,,,
día,day,,,,,,,,,,,,
tanto,so much,,,,,,,,,,,,
ella,her,,,,,,,,,,,,
tres,three,,,,,,,,,,,,
sí,Yes,,,,,,,,,,,,
dijo,He said,,,,,,,,,,,,
sido,been,,,,,,,,,,,,
gran,great,,,,,,,,,,,,
país,country,,,,,,,,,,,,
según,according,,,,,,,,,,,,
menos,less,,,,,,,,,,,,
mundo,world,,,,,,,,,,,,
año,year,,,,,,,,,,,,
antes,before,,,,,,,,,,,,
estado,condition,,,,,,,,,,,,
contra,against,,,,,,,,,,,,
sino,otherwise,,,,,,,,,,,,
forma,shape,,,,,,,,,,,,
caso,case,,,,,,,,,,,,
nada,any,,,,,,,,,,,,
hacer,do,,,,,,,,,,,,
general,general,,,,,,,,,,,,
estaba,I was,,,,,,,,,,,,
poco,little bit,,,,,,,,,,,,
estos,these,,,,,,,,,,,,
presidente,President,,,,,,,,,,,,
mayor,higher,,,,,,,,,,,,
ante,in view of,,,,,,,,,,,,
unos,some,,,,,,,,,,,,
les,them,,,,,,,,,,,,
algo,something,,,,,,,,,,,,
